user_id,text_transcript
CUST_000,Customer says: The service is plan and billing. I want a update.
CUST_000,Customer says: The service is question and billing. I want a okay.
CUST_001,Customer says: The service is update and okay. I want a update.
CUST_001,Customer says: The service is billing and question. I want a okay.
CUST_002,Customer says: The service is update and plan. I want a billing.
CUST_002,Customer says: The service is question and billing. I want a plan.
CUST_003,Customer says: The service is question and plan. I want a billing.
CUST_003,Customer says: The service is update and billing. I want a billing.
CUST_004,Customer says: The service is billing and okay. I want a plan.
CUST_004,Customer says: The service is plan and plan. I want a okay.
CUST_005,Customer says: The service is update and billing. I want a update.
CUST_005,Customer says: The service is okay and plan. I want a billing.
CUST_006,Customer says: The service is question and question. I want a update.
CUST_006,Customer says: The service is plan and question. I want a update.
CUST_007,Customer says: The service is okay and update. I want a update.
CUST_007,Customer says: The service is update and billing. I want a update.
CUST_008,Customer says: The service is update and billing. I want a billing.
CUST_008,Customer says: The service is okay and plan. I want a question.
CUST_009,Customer says: The service is question and update. I want a okay.
CUST_009,Customer says: The service is update and question. I want a billing.
CUST_010,Customer says: The service is plan and okay. I want a billing.
CUST_010,Customer says: The service is plan and okay. I want a okay.
CUST_011,Customer says: The service is question and billing. I want a okay.
CUST_011,Customer says: The service is okay and plan. I want a question.
CUST_012,Customer says: The service is update and question. I want a update.
CUST_012,Customer says: The service is billing and billing. I want a okay.
CUST_013,Customer says: The service is billing and okay. I want a question.
CUST_013,Customer says: The service is billing and question. I want a question.
CUST_014,Customer says: The service is billing and question. I want a billing.
CUST_014,Customer says: The service is billing and billing. I want a update.
CUST_015,Customer says: The service is question and plan. I want a billing.
CUST_015,Customer says: The service is question and okay. I want a billing.
CUST_016,Customer says: The service is billing and plan. I want a update.
CUST_016,Customer says: The service is update and billing. I want a question.
CUST_017,Customer says: The service is okay and okay. I want a question.
CUST_017,Customer says: The service is billing and okay. I want a update.
CUST_018,Customer says: The service is question and plan. I want a billing.
CUST_018,Customer says: The service is question and okay. I want a billing.
CUST_019,Customer says: The service is update and billing. I want a billing.
CUST_019,Customer says: The service is update and update. I want a billing.
CUST_020,Customer says: The service is update and question. I want a update.
CUST_020,Customer says: The service is update and billing. I want a question.
CUST_021,Customer says: The service is plan and plan. I want a okay.
CUST_021,Customer says: The service is update and update. I want a question.
CUST_022,Customer says: The service is plan and okay. I want a question.
CUST_022,Customer says: The service is update and plan. I want a okay.
CUST_023,Customer says: The service is billing and plan. I want a okay.
CUST_023,Customer says: The service is question and billing. I want a okay.
CUST_024,Customer says: The service is okay and update. I want a plan.
CUST_024,Customer says: The service is update and billing. I want a okay.
CUST_025,Customer says: The service is update and plan. I want a billing.
CUST_025,Customer says: The service is question and update. I want a billing.
CUST_026,Customer says: The service is question and update. I want a billing.
CUST_026,Customer says: The service is billing and update. I want a billing.
CUST_027,Customer says: The service is okay and update. I want a billing.
CUST_027,Customer says: The service is question and question. I want a okay.
CUST_028,Customer says: The service is terrible and frustrated. I want a slow.
CUST_028,Customer says: The service is slow and dropped. I want a frustrated.
CUST_029,Customer says: The service is okay and question. I want a question.
CUST_029,Customer says: The service is okay and update. I want a billing.
CUST_030,Customer says: The service is update and plan. I want a plan.
CUST_030,Customer says: The service is plan and okay. I want a question.
CUST_031,Customer says: The service is update and billing. I want a plan.
CUST_031,Customer says: The service is update and plan. I want a plan.
CUST_032,Customer says: The service is billing and okay. I want a question.
CUST_032,Customer says: The service is okay and update. I want a okay.
CUST_033,Customer says: The service is update and update. I want a question.
CUST_033,Customer says: The service is billing and question. I want a okay.
CUST_034,Customer says: The service is update and plan. I want a plan.
CUST_034,Customer says: The service is update and question. I want a billing.
CUST_035,Customer says: The service is question and update. I want a update.
CUST_035,Customer says: The service is billing and okay. I want a okay.
CUST_036,Customer says: The service is billing and okay. I want a plan.
CUST_036,Customer says: The service is okay and okay. I want a okay.
CUST_037,Customer says: The service is plan and okay. I want a plan.
CUST_037,Customer says: The service is billing and question. I want a billing.
CUST_038,Customer says: The service is question and billing. I want a question.
CUST_038,Customer says: The service is question and update. I want a question.
CUST_039,Customer says: The service is question and update. I want a okay.
CUST_039,Customer says: The service is okay and update. I want a plan.
CUST_040,Customer says: The service is question and question. I want a update.
CUST_040,Customer says: The service is update and plan. I want a okay.
CUST_041,Customer says: The service is billing and okay. I want a question.
CUST_041,Customer says: The service is update and plan. I want a okay.
CUST_042,Customer says: The service is plan and okay. I want a question.
CUST_042,Customer says: The service is billing and plan. I want a plan.
CUST_043,Customer says: The service is billing and plan. I want a plan.
CUST_043,Customer says: The service is okay and okay. I want a billing.
CUST_044,Customer says: The service is question and plan. I want a question.
CUST_044,Customer says: The service is billing and billing. I want a okay.
CUST_045,Customer says: The service is plan and update. I want a billing.
CUST_045,Customer says: The service is plan and question. I want a okay.
CUST_046,Customer says: The service is question and billing. I want a billing.
CUST_046,Customer says: The service is question and billing. I want a plan.
CUST_047,Customer says: The service is billing and okay. I want a plan.
CUST_047,Customer says: The service is update and billing. I want a billing.
CUST_048,Customer says: The service is okay and okay. I want a question.
CUST_048,Customer says: The service is question and question. I want a okay.
CUST_049,Customer says: The service is question and question. I want a update.
CUST_049,Customer says: The service is question and billing. I want a okay.
CUST_050,Customer says: The service is plan and update. I want a okay.
CUST_050,Customer says: The service is okay and billing. I want a question.
CUST_051,Customer says: The service is billing and question. I want a question.
CUST_051,Customer says: The service is okay and question. I want a update.
CUST_052,Customer says: The service is update and update. I want a okay.
CUST_052,Customer says: The service is billing and plan. I want a question.
CUST_053,Customer says: The service is plan and billing. I want a billing.
CUST_053,Customer says: The service is okay and update. I want a update.
CUST_054,Customer says: The service is billing and okay. I want a okay.
CUST_054,Customer says: The service is question and update. I want a billing.
CUST_055,Customer says: The service is plan and update. I want a question.
CUST_055,Customer says: The service is okay and billing. I want a update.
CUST_056,Customer says: The service is plan and question. I want a question.
CUST_056,Customer says: The service is update and plan. I want a question.
CUST_057,Customer says: The service is billing and question. I want a plan.
CUST_057,Customer says: The service is okay and okay. I want a update.
CUST_058,Customer says: The service is plan and question. I want a question.
CUST_058,Customer says: The service is okay and okay. I want a billing.
CUST_059,Customer says: The service is okay and billing. I want a question.
CUST_059,Customer says: The service is billing and billing. I want a update.
CUST_060,Customer says: The service is okay and billing. I want a question.
CUST_060,Customer says: The service is plan and billing. I want a okay.
CUST_061,Customer says: The service is update and question. I want a update.
CUST_061,Customer says: The service is plan and billing. I want a billing.
CUST_062,Customer says: The service is okay and billing. I want a question.
CUST_062,Customer says: The service is plan and update. I want a plan.
CUST_063,Customer says: The service is billing and update. I want a okay.
CUST_063,Customer says: The service is plan and update. I want a update.
CUST_064,Customer says: The service is update and question. I want a plan.
CUST_064,Customer says: The service is update and plan. I want a update.
CUST_065,Customer says: The service is okay and okay. I want a okay.
CUST_065,Customer says: The service is billing and update. I want a billing.
CUST_066,Customer says: The service is plan and billing. I want a plan.
CUST_066,Customer says: The service is plan and plan. I want a billing.
CUST_067,Customer says: The service is update and billing. I want a update.
CUST_067,Customer says: The service is update and plan. I want a billing.
CUST_068,Customer says: The service is update and okay. I want a update.
CUST_068,Customer says: The service is okay and billing. I want a billing.
CUST_069,Customer says: The service is billing and update. I want a question.
CUST_069,Customer says: The service is update and update. I want a plan.
CUST_070,Customer says: The service is plan and update. I want a okay.
CUST_070,Customer says: The service is plan and update. I want a question.
CUST_071,Customer says: The service is okay and billing. I want a update.
CUST_071,Customer says: The service is update and okay. I want a plan.
CUST_072,Customer says: The service is plan and plan. I want a billing.
CUST_072,Customer says: The service is okay and okay. I want a plan.
CUST_073,Customer says: The service is plan and question. I want a question.
CUST_073,Customer says: The service is update and update. I want a okay.
CUST_074,Customer says: The service is okay and billing. I want a billing.
CUST_074,Customer says: The service is question and update. I want a question.
CUST_075,Customer says: The service is question and update. I want a billing.
CUST_075,Customer says: The service is update and plan. I want a plan.
CUST_076,Customer says: The service is plan and okay. I want a billing.
CUST_076,Customer says: The service is billing and okay. I want a question.
CUST_077,Customer says: The service is plan and plan. I want a question.
CUST_077,Customer says: The service is update and update. I want a billing.
CUST_078,Customer says: The service is okay and billing. I want a update.
CUST_078,Customer says: The service is question and billing. I want a plan.
CUST_079,Customer says: The service is plan and question. I want a update.
CUST_079,Customer says: The service is plan and plan. I want a okay.
